sp001;Software Engineering;f001
sp002;Computer Science;f001
sp003;Automation, Computer-Integrated Technologies, and Robotics;f001
sp004;Applied Mathematics;f001
sp005;Systems Analysis;f001
sp006;Marketing;f002
sp007;Economics;f002
sp008;Finance, Banking and Insurance;f002
sp009;Management;f002
sp010;History and Archaeology;f003
sp011;Philosophy;f003
sp012;Cultural Studies;f003
sp013;Philology;f003
sp014;Law;f004
sp015;Public Management and Administration;f004
sp016;Biology and Biotechnology;f005
sp017;Ecology;f005
sp018;Chemistry;f005
sp019;Physics and Astronomy;f005
sp020;Sociology;f006
sp021;Political Science;f006
sp022;Psychology;f006
sp023;Social Work;f006
sp024;Journalism;f006
sp025;International Relations;f006
